method `response_body_converter` has 2 type parameters but its trait declaration has 0 type parameters	@6905
expected a type, found a trait	@6575
this function takes 0 arguments but 1 argument was supplied	@3863
mismatched types	@4547
no method named `send` found for struct `OneshotReceiver<T>` in the current scope	@6313
no method named `send` found for struct `OneshotReceiver<T>` in the current scope	@6313
arguments to this function are incorrect	@3701
no method named `is_blank` found for enum `std::option::Option<T>` in the current scope	@754
this function takes 3 arguments but 1 argument was supplied	@3707
arguments to this function are incorrect	@3701
duplicate definitions with name `flush`	@5701
method takes 0 generic arguments but 1 generic argument was supplied	@3550
this function takes 2 arguments but 1 argument was supplied	@3550
the method `clone` exists for struct `Vec<stubs::Image>`, but its trait bounds were not satisfied	@3453
the method `clone` exists for struct `Vec<stubs::Image>`, but its trait bounds were not satisfied	@3453
expected a `FnMut(&mut com_htmake_reader_api_controller_curd::RoutingContext)` closure, found `StaticHand	@6447
expected a `FnMut(&mut com_htmake_reader_api_controller_curd::RoutingContext)` closure, found `StaticHand	@6447
expected a `FnMut(&mut com_htmake_reader_api_controller_curd::RoutingContext)` closure, found `StaticHand	@6447
expected a `FnMut(&mut com_htmake_reader_api_controller_curd::RoutingContext)` closure, found `StaticHand	@6447
mismatched types	@5328
expected a `FnMut(&mut com_htmake_reader_api_controller_curd::RoutingContext)` closure, found `StaticHand	@6447
no associated function or constant named `get_instance` found for struct `stubs::Calendar` in the current	@1299
no associated function or constant named `get_instance` found for struct `stubs::Calendar` in the current	@1299
this method takes 1 argument but 2 arguments were supplied	@474
no associated function or constant named `get_instance` found for struct `stubs::Calendar` in the current	@1299
no method named `with_lock` found for struct `stubs::Mutex` in the current scope	@580
this method takes 2 arguments but 1 argument was supplied	@1458
this method takes 2 arguments but 1 argument was supplied	@1458
no method named `unwrap` found for type `i64` in the current scope	@1449
this method takes 2 arguments but 1 argument was supplied	@1449
this function takes 0 arguments but 1 argument was supplied	@1499
no method named `get_string` found for enum `std::option::Option<T>` in the current scope	@1438
no method named `get_integer` found for enum `std::option::Option<T>` in the current scope	@1449
no method named `get_string` found for enum `std::option::Option<T>` in the current scope	@1438
mismatched types	@2009
mismatched types	@1531
no method named `get_string` found for enum `std::option::Option<T>` in the current scope	@1438
mismatched types	@1438
no method named `mkdirs` found for enum `std::option::Option<T>` in the current scope	@2040
no method named `copy_to` found for struct `stubs::File` in the current scope	@1999
no method named `relative_to` found for struct `stubs::File` in the current scope	@1999
mismatched types	@5321
mismatched types	@5328
this function takes 1 argument but 2 arguments were supplied	@3629
no method named `mkdirs` found for enum `std::option::Option<T>` in the current scope	@2040
mismatched types	@2079
`stubs::JsonArray` is not an iterator	@1496
`stubs::JsonArray` is not an iterator	@1496
no method named `sync_from_webdav` found for struct `stubs::BookController` in the current scope	@6600
no method named `save_book_to_shelf` found for struct `stubs::BookController` in the current scope	@6600
no method named `relative_to` found for struct `stubs::File` in the current scope	@1999
no method named `exists` found for enum `std::option::Option<T>` in the current scope	@2028
no method named `mkdirs` found for enum `std::option::Option<T>` in the current scope	@2040
no method named `get_last_back_file_from_webdav` found for struct `stubs::BookController` in the current 	@6600
no method named `create_user_backup` found for struct `stubs::BookController` in the current scope	@6600
mismatched types	@5328
no method named `get_header` found for struct `com_htmake_reader_api_controller_curd::RoutingContext` in 	@5328
mismatched types	@3093
this method takes 1 argument but 0 arguments were supplied	@3119
this method takes 1 argument but 0 arguments were supplied	@3119
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
mismatched types	@3093
this method takes 1 argument but 0 arguments were supplied	@3119
this method takes 1 argument but 0 arguments were supplied	@3119
